scenario,model,fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
cold,CAFNet,0,0.7888837103780463,0.2230908598520741,74550,2889,75,0.3286112237553585,0.4563004243270826,0.3866666666666666,0.432,0.2531165643969144,0.450025016629751,1.8315206109956224,1.486075300295209,0.2336143502064531,0.5607476635514018,2889.0
cold,CAFNet,1,0.8077800743065932,0.2560835382630548,74550,3457,75,0.3465326929323618,0.5231068566442849,0.64,0.4835555555555556,0.2311410239249613,0.3971422906888791,1.6578724993775638,1.2864253176799183,0.2776648871757945,0.673126988718542,3457.0
cold,CAFNet,2,0.8029734111811856,0.3200186552138604,74550,4941,75,0.3675779463908605,0.5221325447980871,0.5466666666666666,0.5226666666666667,0.2005738515309559,0.3061987056596522,1.8771647099079336,1.4940734254002144,0.1805598920761724,0.5885448289819875,4941.0
cold,CAFNet,3,0.7905036141044381,0.2081155792899065,74550,3098,75,0.2927807406083682,0.425045316630749,0.48,0.3964444444444444,0.2272430998285091,0.3446371895557457,1.8206502732492884,1.4290237600179816,0.1997073149292276,0.5981278244028405,3098.0
cold,CAFNet,4,0.8232088461073562,0.2590232414223175,74550,2835,75,0.3366092006208799,0.4434001674517834,0.3733333333333333,0.4328888888888888,0.249411021159808,0.3060530196130904,1.7595275977037377,1.3816101729304808,0.2016725577468077,0.6204585537918871,2835.0
cold,CAFNet,5,0.7810573619775113,0.2636978955681044,74550,4453,75,0.3477378355869679,0.5363336522089834,0.5466666666666666,0.48,0.2139592230066193,0.4027905075325635,1.7729786679025643,1.4166906873588678,0.2465471199644914,0.6056591062205254,4453.0
cold,CAFNet,6,0.7743930809786921,0.244272994777131,74550,4083,75,0.3527709362976407,0.5154377850614087,0.6,0.4515555555555555,0.2211683738988842,0.4306022677073489,1.736780590701647,1.3956639390496277,0.2581006708629375,0.6367866764633847,4083.0
cold,CAFNet,7,0.7902826996644463,0.2383828811319042,74550,4023,75,0.3348840408998283,0.5016239218274656,0.5466666666666666,0.4293333333333333,0.2189202309101757,0.4546051010852169,1.636637361368527,1.324861200179802,0.2832951876952843,0.6616952522992792,4023.0
cold,CAFNet,8,0.8083063376339873,0.236908743225193,74550,3088,75,0.3163477875049968,0.4553190353949285,0.4533333333333333,0.4257777777777777,0.2288836280500492,0.3623204254618664,1.7235999830186175,1.3443967447021417,0.2593559131030991,0.6389248704663213,3088.0
cold,CAFNet,9,0.7921664346162505,0.2681982988320652,74550,4204,75,0.3715484154066693,0.5441150425190715,0.5333333333333333,0.4764444444444444,0.2602151190462775,0.4035438114052732,1.724998360426267,1.3804005180311865,0.2371716400100574,0.6217887725975262,4204.0
