fold,drug_index,model,macro_AP,nDCG@10,rare_AP,middle_AP,frequent_AP
9,211,CAFNet,0.1171451284487027,0.16815228646891087,0.0035335689045936395,0.011634327247766021,0.15210462544491135
9,211,CAFNet-D,0.1606482204091136,0.2934556883974403,0.004975124378109453,0.03989235618982454,0.18970639174468468
9,211,CAFNet-DG,0.17078015393575655,0.34996677795142084,0.0045662100456621,0.034073779025460854,0.20279337453871965
9,211,Group-only,0.20936122097898385,0.3301376494471203,0.0038461538461538464,0.04935152922957801,0.24753237158093788
9,211,Global gate,0.19346929421032827,0.3301376494471203,0.011494252873563218,0.05155852417302799,0.22497166070575214
9,211,Drug gate,0.20163092229935606,0.3301376494471203,0.0030959752321981426,0.14055066300442481,0.23530213003111036
9,211,Drug-stratum gate,0.19126145807240527,0.3301376494471203,0.005128205128205128,0.0724776765058784,0.22406286627659497
9,223,CAFNet,0.4962249001424907,0.7655934900767002,,0.017543859649122806,0.5245788138856223
9,223,CAFNet-D,0.43361406280361364,0.7630946912803435,,0.021739130434782608,0.4543932469972198
9,223,CAFNet-DG,0.4751251900351584,0.7753366239771086,,0.023809523809523808,0.49697232263568736
9,223,Group-only,0.4698970766848946,0.7624164915943118,,0.018518518518518517,0.4913577219769627
9,223,Global gate,0.4149738754365467,0.6313419460517601,,0.012658227848101266,0.4373726550954368
9,223,Drug gate,0.443553971394186,0.7254521107352793,,0.015384615384615385,0.4671671995714563
9,223,Drug-stratum gate,0.4224073446142125,0.6618313225363276,,0.023255813953488372,0.44289782992989174
9,230,CAFNet,0.1880779338096411,0.3694849835038007,,,0.1945570395789822
9,230,CAFNet-D,0.389537037037037,0.5014839712467825,,,0.389537037037037
9,230,CAFNet-DG,0.3536893530997305,0.5112590391895957,,,0.3536893530997305
9,230,Group-only,0.4230263157894737,0.5058520011127918,,,0.4230263157894737
9,230,Global gate,0.1975198412698413,0.20324958761397838,,,0.19751984126984126
9,230,Drug gate,0.22553927553927552,0.21793006430423476,,,0.22553927553927555
9,230,Drug-stratum gate,0.25342712842712845,0.37747370249185996,,,0.2556788241493526
9,250,CAFNet,0.09270661181801508,0.0,0.00303951367781155,0.014770002180074123,0.14071821878813268
9,250,CAFNet-D,0.48454275551571224,0.6051399156371955,0.024390243902439025,0.0343868890839918,0.6813791669723872
9,250,CAFNet-DG,0.4791216422754016,0.5541432109622958,0.01020408163265306,0.025025125628140705,0.6754578754578753
9,250,Group-only,0.5129678201898524,0.5637884576902256,0.007407407407407408,0.007633694708238787,0.7266601323205095
9,250,Global gate,0.6219282490559086,0.727329844310522,0.0035842293906810036,0.03563829787234043,0.8784194528875378
9,250,Drug gate,0.4718321991745815,0.5388856921828065,0.041666666666666664,0.08193979933110368,0.6591411564625849
9,250,Drug-stratum gate,0.5667400105514608,0.706583601726363,0.07142857142857142,0.04076479076479077,0.7962372448979591
9,269,CAFNet,0.12387619203408677,0.21779548001177873,0.023809523809523808,,0.1452326270221007
9,269,CAFNet-D,0.24923719958202717,0.38980242392690356,0.03225806451612903,,0.2956363636363636
9,269,CAFNet-DG,0.23056874483897608,0.38980242392690356,0.034482758620689655,,0.27321428571428574
9,269,Group-only,0.23471351089294912,0.3501827644973757,0.1,,0.27543859649122804
9,269,Global gate,0.37352564102564106,0.5283866124986515,0.047619047619047616,,0.44423076923076926
9,269,Drug gate,0.41581978319783197,0.5283866124986515,0.05555555555555555,,0.49166666666666664
