model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
Gate sigmoid low=0.1 mid=0 high=0.9 temp=0.5,0.330941465452314,0.17030186781120088,0.5304878544763931,0.29250240253821547,0.44044444444444447,0.26041818943331674,0.23305910177963302,0.17095046451587523
Gate sigmoid low=0.1 mid=0 high=0.9 temp=1,0.3582310534498579,0.1763212248598006,0.5565535934799034,0.286382527126797,0.46222222222222226,0.2633828367914529,0.2440920526957666,0.17484412514187242
Gate sigmoid low=0.1 mid=0 high=0.9 temp=2,0.3750448448768816,0.18095366746105762,0.5647261824063571,0.28997462432322213,0.47973333333333334,0.271716625077615,0.2516622057341914,0.17754214453782188
Gate sigmoid low=0.1 mid=0 high=1 temp=0.5,0.3116989285354419,0.16722898708257328,0.50657114193277,0.2925186996948234,0.4170666666666667,0.2561899236150304,0.219743084593801,0.1669199661181503
Gate sigmoid low=0.1 mid=0 high=1 temp=1,0.3461176286491459,0.17448563352957497,0.5411988247444213,0.2874558263950622,0.44480000000000003,0.25831735598121824,0.23591429198805985,0.17309980499521632
Gate sigmoid low=0.1 mid=0 high=1 temp=2,0.3694617491068516,0.17994618320388422,0.5573323480158959,0.28965819627745515,0.4735111111111111,0.271639160753286,0.24802181498154338,0.17711769207827535
Gate sigmoid low=0.2 mid=0 high=0.8 temp=0.5,0.3689184855613815,0.1764751288524135,0.5821089296875482,0.29051919975706575,0.48817777777777777,0.2726075514730118,0.2570045771945238,0.1774240660438497
Gate sigmoid low=0.2 mid=0 high=0.8 temp=1,0.38243436361024336,0.18060562850660178,0.5903459729670504,0.29017575829998266,0.49466666666666664,0.27614121071286746,0.25938676021520274,0.18039123081535013
Gate sigmoid low=0.2 mid=0 high=0.8 temp=2,0.3900026259770759,0.18322263501705668,0.5927242169226103,0.2896521028613174,0.5022222222222221,0.27836668030308864,0.2633322728165557,0.18082998645207385
Gate sigmoid low=0.2 mid=0 high=0.9 temp=0.5,0.35406969162518137,0.1739255009033724,0.5666611732992267,0.28978182085404436,0.4722666666666667,0.26936450180309085,0.24898137068898937,0.17729755197741498
