drug_local_idx,model,matched_AUROC,matched_AUPR,pos_gt_ctrl_rate,pos_minus_ctrl_score
18,debias weighted rb2.0,0.6144628099173555,0.6549965127617755,0.6090909090909091,0.2659965777261691
18,matched-BPR pop0.05 no-res,0.6520661157024793,0.7051670406795192,0.6363636363636364,0.3886390099471266
18,matched-BPR pop0.10 no-res,0.6818181818181819,0.721757033865907,0.6454545454545455,0.4597818254747174
18,matched-BPR pop0.05 residual,0.6772727272727272,0.710978517834247,0.7181818181818181,0.4192882420833815
18,Global popularity,0.7274793388429752,0.730681385664872,0.7272727272727273,0.12126599326599329
19,CAFNet,0.7224852071005918,0.8079275395731321,0.7,0.8987362078749217
19,CAFNet-D full,0.6994082840236686,0.7758677220542365,0.7153846153846154,0.6889698728345908
19,debias pop0.02 no-res,0.7017751479289942,0.7804215939226923,0.7538461538461538,0.3748842902768117
19,debias pop0.05 no-res,0.7091715976331361,0.7931130700255763,0.7384615384615385,0.49235840141773224
19,debias pop0.02 residual,0.7375739644970415,0.8034903033369424,0.7923076923076923,0.39304740843004904
19,debias weighted rb1.5,0.7366863905325445,0.8092011383705452,0.7769230769230769,0.32091043195329033
19,debias weighted rb2.0,0.7304733727810651,0.7864164006315477,0.8076923076923077,0.35811134233640934
19,matched-BPR pop0.05 no-res,0.7224852071005918,0.7879593336474675,0.7692307692307693,0.4507802185244285
19,matched-BPR pop0.10 no-res,0.6946745562130179,0.787724019916661,0.7769230769230769,0.5002345990389585
19,matched-BPR pop0.05 residual,0.7278106508875739,0.793307723219264,0.7615384615384615,0.631828080289639
19,Global popularity,0.6985207100591715,0.7851166020861534,0.7769230769230769,0.16115099715099715
20,CAFNet,0.7964444444444445,0.7977466225532837,0.88,0.8258845313390096
20,CAFNet-D full,0.6631111111111111,0.6534710778737792,0.72,0.4850782340764999
20,debias pop0.02 no-res,0.7404444444444445,0.7175452018538666,0.8666666666666667,0.3888697966436545
20,debias pop0.05 no-res,0.7431111111111113,0.7229509363248486,0.8666666666666667,0.4715803277865052
20,debias pop0.02 residual,0.7422222222222222,0.7226718602338845,0.8533333333333334,0.3929607058564822
20,debias weighted rb1.5,0.7182222222222222,0.7034042422393402,0.8266666666666667,0.3528415733575821
20,debias weighted rb2.0,0.7013333333333334,0.687130833977254,0.8,0.4121053509414196
20,matched-BPR pop0.05 no-res,0.7182222222222222,0.7002623944606947,0.7733333333333333,0.47643276015917463
20,matched-BPR pop0.10 no-res,0.7457777777777779,0.7314959962961458,0.8266666666666667,0.5952766467134157
20,matched-BPR pop0.05 residual,0.7315555555555556,0.7158419441174204,0.7866666666666666,0.4543139025072257
20,Global popularity,0.6777777777777777,0.677445020973724,0.7466666666666667,0.09060740740740741
21,CAFNet,0.6737746069493988,0.7041831317367075,0.7218390804597701,0.7780883802079607
21,CAFNet-D full,0.6869599682917162,0.7203030930436817,0.7862068965517242,0.9685273852327775
21,debias pop0.02 no-res,0.6311269652530057,0.6696892381653559,0.728735632183908,0.36801404686184364
21,debias pop0.05 no-res,0.647483154974237,0.6835692423827822,0.7494252873563219,0.5460103508095717
21,debias pop0.02 residual,0.6266613819527018,0.6574611090277059,0.7103448275862069,0.4244896289646283
21,debias weighted rb1.5,0.6366759149161052,0.6776117831654068,0.7195402298850575,0.4031769793758961
21,debias weighted rb2.0,0.6472453428458185,0.6596036466616394,0.7080459770114943,0.4701036878952478
21,matched-BPR pop0.05 no-res,0.6411414982164091,0.6767641755110738,0.7264367816091954,0.47886230013301145
21,matched-BPR pop0.10 no-res,0.6675650680406923,0.6995787435810054,0.774712643678161,0.6524580530008708
21,matched-BPR pop0.05 residual,0.6667195138063152,0.6991932870948204,0.7540229885057471,0.5948532089184242
21,Global popularity,0.5717532038578412,0.65439030649792,0.5885057471264368,0.0643644103873989
22,CAFNet,0.51875,0.5362009772249121,0.52,0.08958360802382231
22,CAFNet-D full,0.517,0.5223520876982648,0.525,0.18115038642194123
22,debias pop0.02 no-res,0.496625,0.5172696264216249,0.51,0.012898467727936767
22,debias pop0.05 no-res,0.4462499999999999,0.49450002269048376,0.385,-0.2506633651070297
22,debias pop0.02 residual,0.46724999999999994,0.4989719212731014,0.43,-0.14120419095270337
22,debias weighted rb1.5,0.53375,0.5439269363107903,0.59,0.14635686890222133
22,debias weighted rb2.0,0.4255,0.47699660533786614,0.365,-0.2643665074463934
22,matched-BPR pop0.05 no-res,0.474625,0.5101402084815512,0.455,-0.08199293484911321
