drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
72,debias pop0.02 no-res,middle,0.02660889463582325,0.0,0.0,0.0
72,debias pop0.02 no-res,frequent,0.464690909596333,0.7162874455029682,0.8,0.24489795918367346
73,debias pop0.02 no-res,rare,0.5135135135135135,0.6131471927654584,0.06666666666666667,0.5
73,debias pop0.02 no-res,middle,1.0,1.0,0.06666666666666667,1.0
73,debias pop0.02 no-res,frequent,0.2304735585625115,0.14201905717762706,0.3333333333333333,0.35714285714285715
74,debias pop0.02 no-res,rare,0.046314565839183836,0.0,0.0,0.0
74,debias pop0.02 no-res,middle,0.4194078947368421,0.5585075862632192,0.13333333333333333,0.5
74,debias pop0.02 no-res,frequent,0.22756444095224193,0.2529427027676571,0.13333333333333333,0.25
75,debias pop0.02 no-res,rare,0.003745318352059925,0.0,0.0,0.0
75,debias pop0.02 no-res,middle,0.02857142857142857,0.0,0.0,0.0
75,debias pop0.02 no-res,frequent,0.571557479138272,0.7948833326720566,0.6,0.6
76,debias pop0.02 no-res,rare,0.005649717514124294,0.0,0.0,0.0
76,debias pop0.02 no-res,middle,0.0136986301369863,0.0,0.0,0.0
76,debias pop0.02 no-res,frequent,0.15880987419987241,0.1951890007906611,0.26666666666666666,0.4
77,debias pop0.02 no-res,rare,0.024281274281274284,0.0,0.0,0.0
77,debias pop0.02 no-res,middle,0.09770707531738415,0.17993148201117182,0.13333333333333333,0.15384615384615385
77,debias pop0.02 no-res,frequent,0.1126527041665928,0.0,0.0,0.0
78,debias pop0.02 no-res,rare,0.007255920791443628,0.0,0.0,0.0
78,debias pop0.02 no-res,middle,0.11986594122734484,0.09478836436955079,0.13333333333333333,0.06060606060606061
78,debias pop0.02 no-res,frequent,0.6463722585614596,0.9305687780632229,0.8666666666666667,0.14606741573033707
79,debias pop0.02 no-res,rare,0.029079616036137772,0.0,0.0,0.0
79,debias pop0.02 no-res,middle,0.015997403320040807,0.0,0.0,0.0
79,debias pop0.02 no-res,frequent,0.44507231746324083,0.5541432109622959,0.4,0.4
80,debias pop0.02 no-res,rare,0.059818249674121,0.0,0.0,0.0
80,debias pop0.02 no-res,middle,0.3043514214067802,0.599976751690748,0.6666666666666666,0.18867924528301888
80,debias pop0.02 no-res,frequent,0.7657546074360748,0.9305687780632229,0.9333333333333333,0.11864406779661017
81,debias pop0.02 no-res,rare,,,,
81,debias pop0.02 no-res,middle,,,,
81,debias pop0.02 no-res,frequent,1.0,1.0,0.3333333333333333,1.0
82,debias pop0.02 no-res,rare,0.0064516129032258064,0.0,0.0,0.0
82,debias pop0.02 no-res,middle,0.24241143317230274,0.3973220069685352,0.13333333333333333,0.5
